text,topic,summary
"

	And now the King's son had it carried away by his servants on their shoulders. And it happened that they stumbled over a tree-stump, and with the shock the poisonous piece of apple which Snow-white had bitten off came out of her throat. And before long she opened her eyes, lifted up the lid of the coffin, sat up, and was once more alive. 'Oh, heavens, where am I?' she cried. The King's son, full of joy, said, 'You are with me,' and told her what had happened, and said, 'I love you more than everything in the world; come with me to my father's palace, you shall be my wife.'",little snow white_segment_32.txt, Snow-white bit off a piece of apple which had bitten off her throat . King's son carried it away by his servants on their shoulders .
"

	Joringel went away, and at last came to a strange village; there he kept sheep for a long time. He often walked round and round the castle, but not too near to it. At last he dreamt one night that he found a blood-red flower, in the middle of which was a beautiful large pearl; that he picked the flower and went with it to the castle, and that everything he touched with the flower was freed from enchantment; he also dreamt that by means of it he recovered his Jorinda.",jorinda and joringel_segment_8.txt," Joringel dreamt one night that he found a blood-red flower, in the middle of which was a beautiful large pearl . He also dreamt that by means of it he recovered his Jorinda ."
"

	And none is so fair as she.'

	When she heard that, all her blood rushed to her heart with fear, for she saw plainly that little Snow-white was again alive. 'But now,' she said, 'I will think of something that shall put an end to you,' and by the help of witchcraft, which she understood, she made a poisonous comb. Then she disguised herself and took the shape of another old woman. So she went over the seven mountains to the seven dwarfs, knocked at the door, and cried, 'Good things to sell, cheap, cheap!' Little Snow-white looked out and said, 'Go away; I cannot let any one come in.' 'I suppose you can look,' said the old woman, and pulled the poisonous comb out and held it up. It pleased the girl so well that she let herself be beguiled, and opened the door. When they had made a bargain the old woman said, 'Now I will comb you properly for once.' Poor little Snow-white had no suspicion, and let the old woman do as she pleased, but hardly had she put the comb in her hair than the poison in it took effect, and the girl fell down senseless. 'You paragon of beauty,' said the wicked woman, 'you are done for now,' and she went away.",little snow white_segment_20.txt," Little Snow-white had no suspicion, and let the old woman do as she pleased, but hardly had she put the comb in her hair than the poison in it took effect, and the girl fell down senseless ."
"

	Joringel could not move: he stood there like a stone, and could neither weep nor speak, nor move hand or foot.",jorinda and joringel_segment_5.txt," Joringel could not move: he stood there like a stone, and could neither weep nor speak, nor move hand or foot ."
"

	It was not long before the man came back from his journey, and the first things which he asked for were the key and the egg. She gave them to him, but she trembled as she did so, and he saw at once by the red spots that she had been in the bloody chamber. 'Since thou hast gone into the room against my will,' said he, 'thou shalt go back into it against thine own. Thy life is ended.' He threw her down, dragged her thither by her hair, cut her head off on the block, and hewed her in pieces so that her blood ran on the ground. Then he threw her into the basin with the rest.",fitchers bird_segment_2.txt," The man came back from his journey and asked for the key and the egg . He saw at once by the red spots that she had been in the bloody chamber . He threw her down, dragged her thither by her hair, cut"
"

	It happened, however, that a king's son came into the forest, and went to the dwarfs' house to spend the night. He saw the coffin on the mountain, and the beautiful Snow-white within it, and read what was written upon it in golden letters. Then he said to the dwarfs, 'Let me have the coffin, I will give you whatever you want for it.' But the dwarfs answered, 'We will not part with it for all the gold in the world.' Then he said, 'Let me have it as a gift, for I cannot live without seeing Snow-white. I will honour and prize her as my dearest possession.' As he spoke in this way the good dwarfs took pity upon him, and gave him the coffin.",little snow white_segment_31.txt," A king's son came into the forest, and went to the dwarfs' house to spend the night . He saw the coffin on the mountain and read what was written upon it in golden letters . He said: 'Let me have"
"

	For some time they were alone like this in the wilderness. But it happened that the King of the country held a great hunt in the forest. Then the blasts of the horns, the barking of dogs, and the merry shouts of the huntsmen rang through the trees, and the roebuck heard all, and was only too anxious to be there. 'Oh,' said he, to his sister, 'let me be off to the hunt, I cannot bear it any longer;' and he begged so much that at last she agreed. 'But,' said she to him, 'come back to me in the evening; I must shut my door for fear of the rough huntsmen, so knock and say, 'My little sister, let me in!' that I may know you; and if you do not say that, I shall not open the door.' Then the young roebuck sprang away; so happy was he and so merry in the open air.",little brother and little sister_segment_10.txt," The King of the country held a great hunt in the forest . The roebuck heard the blasts of the horns, the barking of dogs, and the merry shouts of the huntsmen rang through the trees . He begged his sister to"
"

	When some time had passed in this manner, the Queen began to speak in the night, and saidâ-

	'How fares my child, how fares my roe? Twice shall I come, then never more.'

	The nurse did not answer, but when the Queen had gone again, went to the King and told him all. The King said, 'Ah, heavens! what is this? To-morrow night I will watch by the child.' In the evening he went into the nursery, and at midnight the Queen again appeared and saidâ-",little brother and little sister_segment_24.txt," The King said, 'Ah, heavens! what is this? To-morrow night I will watch by the child'"
"

	And now the sister wept over her poor bewitched brother, and the little roe wept also, and sat sorrowfully near to her. But at last the girl said, 'Be quiet, dear little roe, I will never, never leave you.'",little brother and little sister_segment_7.txt," The sister wept over her poor bewitched brother, and the little roe wept also, and sat sorrowfully near to her . But at last the girl said, 'Be quiet, dear little roo, I will"
"

	They walked the whole day over meadows, fields, and stony places; and when it rained the little sister said, 'Heaven and our hearts are weeping together.' In the evening they came to a large forest, and they were so weary with sorrow and hunger and the long walk, that they lay down in a hollow tree and fell asleep.",little brother and little sister_segment_1.txt," They walked the whole day over meadows, fields, and stony places; and when it rained the little sister said, 'Heaven and our hearts are weeping together'"
"

	'O, Fitcher's bird, how com'st thou here?' 'I come from Fitcher's house quite near.' 'And what may the young bride be doing?' 'From cellar to garret she's swept all clean, And now from the window she's peeping, I ween.'",fitchers bird_segment_6.txt," 'From cellar to garret she's swept all clean, And now from the window she's peeping, I ween.'"
"

	And so she thought and thought again how she might kill her, for so long as she was not the fairest in the whole land, envy let her have no rest. And when she had at last thought of something to do, she painted her face, and dressed herself like an old pedler-woman, and no one could have known her. In this disguise she went over the seven mountains to the seven dwarfs, and knocked at the door and cried, 'Pretty things to sell, very cheap, very cheap.' Little Snow-white looked out of the window and called out, 'Good-day my good woman, what have you to sell?' 'Good things, pretty things,' she answered; 'stay-laces of all colours,' and she pulled out one which was woven of bright-coloured silk. 'I may let the worthy old woman in,' thought Snow-white, and she unbolted the door and bought the pretty laces. 'Child,' said the old woman, 'what a fright you look; come, I will lace you properly for once.' Snow-white had no suspicion, but stood before her, and let herself be laced with the new laces. But the old woman laced so quickly and so tightly that Snow-white lost her breath and fell down as if dead. 'Now I am the most beautiful,' said the Queen to herself, and ran away.",little snow white_segment_17.txt," Little Snow-white had no suspicion, but stood before her, and let herself be laced with the new laces . 'Now I am the most beautiful,' said the Queen to herself and ran away ."
"

	Day and night he journeyed with this flower to the castle. When he was within a hundred paces of it he was not held fast, but walked on to the door. Joringel was full of joy; he touched the door with the flower, and it sprang open. He walked in through the courtyard, and listened for the sound of the birds. At last he heard it. He went on and found the room from whence it came, and there the witch was feeding the birds in the seven thousand cages.",jorinda and joringel_segment_10.txt," Joringel touched the door with the flower, and it sprang open . He walked in through the courtyard, and listened for the sound of the birds ."
"

	'It does not please me,' said the fiddler, 'to hear you always wishing for another husband; am I not good enough for you?' At last they came to a very little hut, and she said, 'Oh goodness! what a small house; to whom does this miserable, mean hovel belong?' The fiddler answered, 'That is my house and yours, where we shall live together.'",king thrushbeard_segment_9.txt, Fiddler: 'It does not please me' to hear you always wishing for another husband; am I not good enough for you?'
"

	'Oh, yes, if any one else gets on it swiftly, and takes out the pistol which must be in its holster, and shoots the horse dead with it, the young King is saved. But who knows that? And whosoever does know it, and tells it to him, will be turned to stone from the toe to the knee.' Then said the second, 'I know more than that; even if the horse be killed, the young King will still not keep his bride. When they go into the castle together, a wrought bridal garment will be lying there in a dish, and looking as if it were woven of gold and silver; it is, however, nothing but sulphur and pitch, and if he put it on, it will burn him to the very bone and marrow.' Said the third, 'Is there no escape at all?'",faithful john_segment_8.txt," If any one else gets on it swiftly, and takes out the pistol which must be in its holster, and shoots the horse dead with it, the young King is saved . But who knows that? And whosoever does know it"
"A certain cat had made the acquaintance of a mouse, and had said so much to her about the great love and friendship she felt for her, that at length the mouse agreed that they should live and keep house together. 'But we must make a provision for winter, or else we shall suffer from hunger,' said the cat, 'and you, little mouse, cannot venture everywhere, or you will be caught in a trap some day.' The good advice was followed, and a pot of fat was bought, but they did not know where to put it. At length, after much consideration, the cat said, 'I know no place where it will be better stored up than in the church, for no one dares take anything away from there. We will set it beneath the altar, and not touch it until we are really in need of it.' So the pot was placed in safety, but it was not long before the cat had a great yearning for it, and said to the mouse, 'I want to tell you something, little mouse; my cousin has brought a little son into the world, and has asked me to be godmother; he is white with brown spots, and I am to hold him over the font at the christening. Let me go out to-day, and you look after the house by yourself.' 'Yes, yes,' answered the mouse, 'by all means go, and if you get anything very good, think of me, I should like a drop of sweet red christening wine too.' All this, however, was untrue; the cat had no cousin, and had not been asked to be godmother. She went straight to the church, stole to the pot of fat, began to lick at it, and licked the top of the fat off. Then she took a walk upon the roofs of the town, looked out for opportunities, and then stretched herself in the sun, and licked her lips whenever she thought of the pot of fat, and not until it was evening did she return home. 'Well, here you are again,' said the mouse, 'no doubt you have had a merry day.' 'All went off well,' answered the cat. 'What name did they give the child?' 'Top off!' said the cat quite coolly. 'Top off!' cried the mouse, 'that is a very odd and uncommon name, is it a usual one in your family?' 'What does it signify,' said the cat, 'it is no worse than Crumb-stealer, as your god-children are called.'",cat and mouse in partnership_segment_0.txt," A certain cat had made the acquaintance of a mouse, and had said so much to her about the great love and friendship she felt for her, that at length the mouse agreed that they should live and keep house together . The good advice"
"

	6.5                ",gambling hansel_segment_3.txt, 6.5.5 . 6.6.5:    6.4: 5:5:6.6: 6:6:7:8:7.5; 6:7   7:5
"

	Then Faithful John saw that there was no help for it now, and with a heavy heart and many sighs, sought out the key from the great bunch. When he had opened the door, he went in first, and thought by standing before him he could hide the portrait so that the King should not see it in front of him, but what availed that? The King stood on tip-toe and saw it over his shoulder. And when he saw the portrait of the maiden, which was so magnificent and shone with gold and precious stones, he fell fainting to the ground. Faithful John took him up, carried him to his bed, and sorrowfully thought, 'The misfortune has befallen us, Lord God, what will be the end of it?' Then he strengthened him with wine, until he came to himself again. The first words the King said were, 'Ah, the beautiful portrait! whose it it?' 'That is the princess of the Golden Dwelling,' answered Faithful John. Then the King continued, 'My love for her is so great, that if all the leaves on all the trees were tongues, they could not declare it. I will give my life to win her. Thou art my most Faithful John, thou must help me.'",faithful john_segment_2.txt," The King fell fainting when he saw the portrait of the maiden, which was so magnificent and shone with gold and precious stones . Faithful John carried him up, carried him to his bed, and sorrowfully thought, 'The"
"

	The King's daughter shuddered, but the King said, 'I have taken an oath to give you to the very first beggar-man, and I will keep it.' All she could say was in vain; the priest was brought, and she had to let herself be wedded to the fiddler on the spot. When that was done the King said, 'Now it is not proper for you, a beggar-woman, to stay any longer in my palace, you may just go away with your husband.'",king thrushbeard_segment_5.txt," The King's daughter shuddered, but the King said, 'I have taken an oath to give you to the very first beggar-man, and I will keep it' All she could say was in vain; the priest"
"

	They walked the whole night long, and by break of day came once more to their father's house. They knocked at the door, and when the woman opened it and saw that it was Hansel and Gretel, she said, 'You naughty children, why have you slept so long in the forest?â-we thought you were never coming back at all!' The father, however, rejoiced, for it had cut him to the heart to leave them behind alone.",hansel and gretel_segment_4.txt," Hansel and Gretel walked the whole night long, and by break of day came once more to their father's house . The father rejoiced, for it had cut him to the heart to leave them behind alone ."
"

	Faithful John bade the King stay behind on the ship, and wait for him. 'Perhaps I shall bring the princess with me,' said he, 'therefore see that everything is in order; have the golden vessels set out and the whole ship decorated.' Then he gathered together in his apron all kinds of gold things, went on shore and walked straight to the royal palace. When he entered the courtyard of the palace, a beautiful girl was standing there by the well with two golden buckets in her hand, drawing water with them. And when she was just turning round to carry away the sparkling water she saw the stranger, and asked who he was. So he answered, 'I am a merchant,' and opened his apron, and let her look in. Then she cried, 'Oh, what beautiful gold things!' and put her pails down and looked at the golden wares one after the other. Then said the girl, 'The princess must see these, she has such great pleasure in golden things, that she will buy all you have.' She took him by the hand and led him upstairs, for she was the waiting-maid. When the King's daughter saw the wares, she was quite delighted and said, 'They are so beautifully worked, that I will buy them all of thee.' But Faithful John said, 'I am only the servant of a rich merchant. The things I have here are not to be compared with those my master has in his ship. They are the most beautiful and valuable things that have ever been made in gold.' She wanted to have everything brought to her there, but he said, 'There are so many of them that it would take a great many days to do that, and so many rooms would be required to exhibit them, that your house is not big enough.' Then her curiosity and longing were still more excited, until at last she said, 'Conduct me to the ship, I will go there myself, and behold the treasures of thine master.'",faithful john_segment_5.txt," Faithful John bade the King stay behind on the ship, and wait for him . 'Perhaps I shall bring the princess with me,' said he, 'therefore see that everything is in order; have the golden vessels set out"
"

	And as she was so beautiful the huntsman had pity on her and said, 'Run away, then, you poor child.' 'The wild beasts will soon have devoured you,' thought he, and yet it seemed as if a stone had been rolled from his heart since it was no longer needful for him to kill her. And as a young boar just then came running by he stabbed it, and cut out its heart and took it to the Queen as proof that the child was dead. The cook had to salt this, and the wicked Queen ate it, and thought she had eaten the heart of Snow-white.

	But now the poor child was all alone in the great forest, and so terrified that she looked at every leaf of every tree, and did not know what to do. Then she began to run, and ran over sharp stones and through thorns, and the wild beasts ran past her, but did her no harm.",little snow white_segment_7.txt," Snow-white was so beautiful the huntsman had pity on her and said, 'Run away, then, you poor child' 'The wild beasts will soon have devoured you,' thought he . But as a young boar just"
"

	Take us across on thy back so white.'

	The duck came to them, and Hansel seated himself on its back, and told his sister to sit by him. 'No,' replied Gretel, 'that will be too heavy for the little duck; she shall take us across, one after the other.' The good little duck did so, and when they were once safely across and had walked for a short time, the forest seemed to be more and more familiar to them, and at length they saw from afar their father's house. Then they began to run, rushed into the parlour, and threw themselves into their father's arms. The man had not known one happy hour since he had left the children in the forest; the woman, however, was dead. Gretel emptied her pinafore until pearls and precious stones ran about the room, and Hansel threw one handful after another out of his pocket to add to them. Then all anxiety was at an end, and they lived together in perfect happiness. My tale is done, there runs a mouse, whosoever catches it, may make himself a big fur cap out of it.",hansel and gretel_segment_18.txt," The duck came to them, and Hansel seated himself on its back, and told his sister to sit by him . 'No,' replied Gretel, 'that will be too heavy for the little duck; she shall take us across"
"

	Then she wept bitterly and said, 'I have done great wrong, and am not worthy to be your wife.' But he said, 'Be comforted, the evil days are past; now we will celebrate our wedding.' Then the maids-in-waiting came and put on her the most splendid clothing, and her father and his whole court came and wished her happiness in her marriage with King Thrushbeard, and the joy now began in earnest. I wish you and I had been there too.",king thrushbeard_segment_19.txt," She wept bitterly and said, 'I have done great wrong, and am not worthy to be your wife' Then the maids-in-waiting came and put on her the most splendid clothing, and her father and his"
"

	And Snow-white was willing, and went with him, and their wedding was held with great show and splendour. But Snow-white's wicked step-mother was also bidden to the feast. When she had arrayed herself in beautiful clothes she went before the Looking-glass, and saidâ-",little snow white_segment_33.txt," Snow-white was willing, and went with him, and their wedding was held with great show and splendour . But Snow-White's wicked step-mother was also bidden to the feast ."
"

	The daughter also was close by; so they carried the weakly Queen into the bath-room, and put her into the bath; then they shut the door and ran away. But in the bath-room they had made a fire of such deadly heat that the beautiful young Queen was soon suffocated.",little brother and little sister_segment_19.txt, The Queen was suffocated by a fire in the bath-room . Her daughter also was close by .
"

	Hans takes the bacon, ties it to a rope, and drags it away behind him. The dogs come and devour the bacon. When he gets home, he has the rope in his hand, and there is no longer anything hanging to it. 'Good evening, mother.' 'Good evening, Hans.' 'Where hast thou been?' 'With Grethel.' 'What didst thou take her?' 'I took her nothing, she gave me something.' 'What did Grethel give thee?' 'Gave me a bit of bacon.' 'Where is the bacon, Hans?' 'I tied it to a rope, brought it home, dogs took it.' 'That was ill done, Hans, thou shouldst have carried the bacon on thy head.' 'Never mind, will do better next time.' 'Whither away, Hans?' 'To Grethel, mother.' 'Behave well, Hans.' 'I'll behave well. Good-bye, mother.' 'Good-bye, Hans.'",clever hans_segment_5.txt," Hans takes the bacon, ties it to a rope, and drags it away behind him . The dogs come and devour the bacon . When he gets home, he has the rope in his hand, and there is no longer anything"
"

	The feast was held with all manner of splendour and when it came to an end the Wise Women bestowed their magic gifts upon the baby: one gave virtue, another beauty, a third riches, and so on with everything in the world that one can wish for.",briar rose_segment_2.txt," The Wise Women bestowed their magic gifts upon the baby . One gave virtue, another beauty, a third riches, and so on with everything in the world that one can wish for ."
"

	Joringel looked through the bushes, and saw the old walls of the castle close at hand. He was horror-stricken and filled with deadly fear. Jorinda was singingâ-

	'My little bird, with the necklace red, Sings sorrow, sorrow, sorrow, He sings that the dove must soon be dead, Sings sorrow, sorâ-jug, jug, jug.'

	Joringel looked for Jorinda. She was changed into a nightingale, and sang, 'jug, jug, jug.' A screech-owl with glowing eyes flew three times round about her, and three times cried, 'to-whoo, to-whoo, to-whoo!'",jorinda and joringel_segment_4.txt," Jorinda was singing, 'My little bird, with the necklace red, Sings sorrow, sorrow' A screech-owl with glowing eyes flew three times round about her, and three times cried, 'to-whoo"
"

	Then they were going to bury her, but she still looked as if she were living, and still had her pretty red cheeks. They said, 'We could not bury her in the dark ground,' and they had a transparent coffin of glass made, so that she could be seen from all sides, and they laid her in it, and wrote her name upon it in golden letters, and that she was a king's daughter. Then they put the coffin out upon the mountain, and one of them always stayed by it and watched it. And birds came too, and wept for Snow-white; first an owl, then a raven, and last a dove.",little snow white_segment_29.txt," Snow-white still looked as if she were living, and still had her pretty red cheeks . She was buried in a transparent coffin of glass ."
"

	When it was morning little Snow-white awoke, and was frightened when she saw the seven dwarfs. But they were friendly and asked her what her name was. 'My name is Snow-white,' she answered. 'How have you come to our house?' said the dwarfs. Then she told them that her step-mother had wished to have her killed, but that the huntsman had spared her life, and that she had run for the whole day, until at last she had found their dwelling. The dwarfs said, 'If you will take care of our house, cook, make the beds, wash, sew, and knit, and if you will keep everything neat and clean, you can stay with us and you shall want for nothing.' 'Yes,' said Snow-white, 'with all my heart,' and she stayed with them. She kept the house in order for them; in the mornings they went to the mountains and looked for copper and gold, in the evenings they came back, and then their supper had to be ready. The girl was alone the whole day, so the good dwarfs warned her and said, 'Beware of your step-mother, she will soon know that you are here; be sure to let no one come in.'",little snow white_segment_13.txt," Little Snow-white was frightened when she saw the seven dwarfs . The dwarfs said, 'If you will take care of our house, cook, make the beds, wash, sew, and knit, and if you will keep"
"

	When he was going out of the church, the beggar said, 'Now go home, I can give you nothing, and you likewise ought to give me nothing.' But he gave a key to the nurse, and told her when she got home she was to give it to the father, who was to take care of it until the child was fourteen years old, and then he was to go on the heath where there was a castle which the key would fit, and that all which was therein should belong to him. Now when the child was seven years old and had grown very big, he once went to play with some other boys, and each of them boasted that he had got more from his godfather than the other; but the child could say nothing, and was vexed, and went home and said to his father, 'Did I get nothing at all, then, from my godfather?' 'Oh, yes,' said the father, 'thou hadst a key if there is a castle standing on the heath, just go to it and open it.' Then the boy went thither, but no castle was to be seen, or heard of.",ferdinand the faithful_segment_2.txt," The beggar gave a key to the nurse, and told her when she got home she was to give it to the father, who was to take care of it until the child was 14 years old . Then he was to go on"
"

	Hans comes to Grethel. 'Good day, Grethel.' 'Good day, Hans. What good thing dost thou bring?' 'I bring nothing, but would have something given.' Grethel says to Hans, 'I will go with thee.'

	Hans takes Grethel, ties her to a rope, leads her to the rack and binds her fast. Then Hans goes to his mother. 'Good evening, mother.' 'Good evening, Hans. Where hast thou been?' 'With Grethel.' 'What didst thou take her?' 'I took her nothing.' 'What did Grethel give thee?' 'She gave me nothing, she came with me.' 'Where hast thou left Grethel?' 'I led her by the rope, tied her to the rack, and scattered some grass for her.' 'That was ill done, Hans, thou shouldst have cast friendly eyes on her.' 'Never mind, will do better.'",clever hans_segment_8.txt," Grethel says to Hans, 'I will go with thee,' says Grethel . Hans takes Grethel, ties her to a rope, leads her to the rack and binds her fast . Then Hans goes to his mother ."
